# x_m,y_m,w_tr_right_m,w_tr_left_m
22.5,272.95000000000005,7.75,7.75
22.75000000000002,272.7,7.504165509901818,7.504165509901818
23.000000000000007,272.7,7.516648189186455,7.516648189186455
24.50000000000003,272.7,7.516648189186455,7.516648189186455
24.750000000000014,272.7,7.504165509901818,7.504165509901818
25.0,272.7,7.5,7.5
25.25000000000002,272.7,7.504165509901818,7.504165509901818
25.500000000000007,272.7,7.516648189186455,7.516648189186455
26.000000000000014,272.7,7.566372975210779,7.566372975210779
26.50000000000002,272.7,7.6485292703891785,7.6485292703891785
29.00000000000002,272.45,7.75,7.75
30.500000000000007,272.45,7.75,7.75
33.500000000000014,272.20000000000005,7.5,7.5
36.000000000000014,272.20000000000005,7.566372975210779,7.566372975210779
40.0,271.95,7.766112283504533,7.766112283504533
42.5,271.70000000000005,7.516648189186455,7.516648189186455
45.0,271.70000000000005,7.516648189186455,7.516648189186455
47.5,271.70000000000005,7.516648189186455,7.516648189186455
50.0,271.70000000000005,7.516648189186455,7.516648189186455
51.25,271.70000000000005,7.7014609003746815,7.7014609003746815
51.75000000000001,271.45,7.591113225344488,7.591113225344488
52.250000000000014,271.45,7.7540312096354125,7.7540312096354125
53.00000000000001,271.45,8.050621094052309,8.050621094052309
55.50000000000001,270.7,8.246211251235321,8.246211251235321
56.000000000000014,270.7,8.381527307120106,8.381527307120106
62.250000000000014,270.45000000000005,8.551315688243536,8.551315688243536
65.5,271.2,8.276472678623424,8.276472678623424
66.50000000000003,271.2,7.905694150420949,7.905694150420949
67.5,271.2,7.6485292703891785,7.6485292703891785
68.50000000000001,271.45,7.766112283504533,7.766112283504533
73.75,270.95000000000005,7.7540312096354125,7.7540312096354125
77.75000000000003,270.95000000000005,7.850159234053792,7.850159234053792
80.5,270.7,8.5,8.5
83.50000000000001,270.7,10.259142264341596,10.259142264341596
83.50000000000001,269.95,9.724325169388361,9.724325169388361
83.50000000000001,269.20000000000005,9.219544457292887,9.219544457292887
83.75,268.45000000000005,8.951256894984079,8.951256894984079
83.75,267.7,8.533024082938006,8.533024082938006
84.00000000000003,267.20000000000005,8.5,8.5
84.00000000000003,266.45,8.173891362135908,8.173891362135908
