#x_m,y_m,w_tr_left_m,w_tr_right_m
-37.651284547354365,10.27263427226664,0.5,0.5
-37.651284547354365,10.27263427226664,0.5,0.5
-37.651284547354365,10.27263427226664,0.5,0.5
-37.63136729939692,10.270816792277317,0.5,0.5
-37.611458974866686,10.268904041869538,0.5,0.5
-37.611458974866686,10.268904041869538,0.5,0.5
-37.611458974866686,10.268904041869538,0.5,0.5
-37.59154980764468,10.267000082767233,0.5,0.5
-37.59154980764468,10.267000082767233,0.5,0.5
-37.57164809273715,10.265019743531496,0.5,0.5
-37.57164809273715,10.265019743531496,0.5,0.5
-37.57164809273715,10.265019743531496,0.5,0.5
-37.551744446529774,10.263058910184988,0.5,0.5
-37.551744446529774,10.263058910184988,0.5,0.5
-37.531847811766504,10.261028165279871,0.5,0.5
-37.531847811766504,10.261028165279871,0.5,0.5
-37.531847811766504,10.261028165279871,0.5,0.5
-37.5119487840197,10.259021004470295,0.5,0.5
-37.5119487840197,10.259021004470295,0.5,0.5
-37.492056649294256,10.256946642915867,0.5,0.5
-37.47216188083988,10.254897694905258,0.5,0.5
-37.47216188083988,10.254897694905258,0.5,0.5
-37.45227401075979,10.25278283711092,0.5,0.5
-37.45227401075979,10.25278283711092,0.5,0.5
-37.45227401075979,10.25278283711092,0.5,0.5
-37.43238336054368,10.250694288858568,0.5,0.5
-37.43238336054368,10.250694288858568,0.5,0.5
-37.412499670297315,10.248540487099653,0.5,0.5
-37.412499670297315,10.248540487099653,0.5,0.5
-37.412499670297315,10.248540487099653,0.5,0.5
-37.412499670297315,10.248540487099653,0.5,0.5
-37.392613099097844,10.246413450248388,0.5,0.5
-37.392613099097844,10.246413450248388,0.5,0.5
-37.372733577554804,10.244221505206657,0.5,0.5
-37.372733577554804,10.244221505206657,0.5,0.5
-37.35285109763836,10.2420565589659,0.5,0.5
-37.35285109763836,10.2420565589659,0.5,0.5
-37.33295843342921,10.239987281187886,0.5,0.5
-37.33295843342921,10.239987281187886,0.5,0.5
-37.313066645760564,10.237909594201744,0.5,0.5
-37.313066645760564,10.237909594201744,0.5,0.5
-37.313066645760564,10.237909594201744,0.5,0.5
-37.293167004895516,10.235908521160772,0.5,0.5
